point_name	point_unit	point_code
管片拼装机液压系统工作时间		GPPZ_YY_TIME
辅助液压系统工作时间		FZ_YY_TIME
刀盘工作时间	H	DP_TIME
润滑系统工作时间	H	RH_TIME
注浆液压系统工作时间		ZJYY_TIME
1#超挖刀工作时间	H	CWD_TIME1
P0.1工作时间	H	TIME0.1
P0.2工作时间	H	P0.2_TIME
P1.1工作时间	H	TIME1.1
P1.2工作时间	H	TIME1.2
P1.3工作时间	H	TIME1.3
P2.1工作时间	H	TIME2.1
P2.2工作时间	H	TIME2.2
P2.3工作时间	H	TIME2.3
T11Y变压器L1L2线电压(2500kVA)	V	A_BYQ_L1L2_V_1
T11Y变压器L2L3线电压(2500kVA)	V	A_BYQ_L2L3_V_1
T11Y变压器L3L1线电压(2500kVA)	V	A_BYQ_L3L1_V_1
T11Y变压器L1相电流(2500kVA)	A	A_BYQ_L1_GI_1
T11Y变压器L2相电流(2500kVA)	A	A_BYQ_L2_GI_1
T11Y变压器L3相电流(2500kVA)	A	A_BYQ_L3_GI_1
T11Y变压器频率(2500kVA)	Hz	A_BYQ_PL_1
T11Y有功功率(2500kVA)	kW	A_YGGL_1
T11Y无功功率(2500kVA)	kVar	A_WGGL_1
T11Y功率因数(2500kVA)		A_GLYS_1
T11Y输入电能(2500kVA)	kWh	A_SLDN_1
T12D变压器L1L2线电压(2500kVA整流变)	V	F_BYQ_L1L2_V_1
T12D变压器L2L3线电压(2500kVA整流变)	V	F_BYQ_L2L3_V_1
T12D变压器L3L1线电压(2500kVA整流变)	V	F_BYQ_L3L1_V_1
T12D变压器L1相电流(2500kVA整流变)	A	F_BYQ_L1_GI_1
T12D变压器L2相电流(2500kVA整流变)	A	F_BYQ_L2_GI_1
T12D变压器L3相电流(2500kVA整流变)	A	F_BYQ_L3_GI_1
T12D变压器频率(2500kVA整流变)	Hz	F_BYQ_PL_1
T12D有功功率(2500kVA整流变)	kW	F_YGGL_1
T12D无功功率(2500kVA整流变)	kVar	F_WGGL_1
T12D功率因数(2500kVA整流变)		F_GLYS_1
T12D输入电能(2500kVA整流变)	kWh	F_SLDN_1
T12Y变压器L1L2线电压(2500kVA整流变)	V	B_BYQ_L1L2_V_1
T12Y变压器L2L3线电压(2500kVA整流变)	V	B_BYQ_L2L3_V_1
T12Y变压器L3L1线电压(2500kVA整流变)	V	B_BYQ_L3L1_V_1
T12Y变压器L1相电流(2500kVA整流变)	A	B_BYQ_L1_GI_1
T12Y变压器L2相电流(2500kVA整流变)	A	B_BYQ_L2_GI_1
T12Y变压器L3相电流(2500kVA整流变)	A	B_BYQ_L3_GI_1
T12Y变压器频率(2500kVA整流变)	Hz	B_BYQ_PL_1
T12Y有功功率(2500kVA整流变)	kW	B_YGGL_1
T12Y无功功率(2500kVA整流变)	kVar	B_WGGL_1
T12Y功率因数(2500kVA整流变)		B_GLYS_1
T12Y输入电能(2500kVA整流变)	kWh	B_SCDN_4
T21D变压器L1L2线电压(2500kVA整流变)	V	C_BYQ_L1L2_V_1
T21D变压器L2L3线电压(2500kVA整流变)	V	C_BYQ_L2L3_V_1
T21D变压器L3L1线电压(2500kVA整流变)	V	C_BYQ_L3L1_V_1
T21D变压器L1相电流(2500kVA整流变)	A	C_BYQ_L1_GI_1
T21D变压器L2相电流(2500kVA整流变)	A	C_BYQ_L2_GI_1
T21D变压器L3相电流(2500kVA整流变)	A	C_BYQ_L3_GI_1
T21D变压器频率(2500kVA整流变)	Hz	C_BYQ_PL_1
T21D有功功率(2500kVA整流变)	kW	C_YGGL_1
T21D无功功率(2500kVA整流变)	kVar	C_WGGL_1
T21D功率因数(2500kVA整流变)		C_GLYS_1
T21D输入电能(2500kVA整流变)	kWh	C_SLDN_1
T21Y变压器L1L2线电压(2500kVA整流变)	V	D_BYQ_L1L2_V_1
T21Y变压器L2L3线电压(2500kVA整流变)	V	D_BYQ_L2L3_V_1
T21Y变压器L3L1线电压(2500kVA整流变)	V	D_BYQ_L3L1_V_1
T21Y变压器L1相电流(2500kVA整流变)	A	D_BYQ_L1_GI_1
T21Y变压器L2相电流(2500kVA整流变)	A	D_BYQ_L2_GI_1
T21Y变压器L3相电流(2500kVA整流变)	A	D_BYQ_L3_GI_1
T21Y变压器频率(2500kVA整流变)	Hz	D_BYQ_PL_1
T21Y有功功率(2500kVA整流变)	kW	D_YGGL_1
T21Y无功功率(2500kVA整流变)	kVar	D_WGGL_1
T21Y功率因数(2500kVA整流变)		D_GLYS_1
T21Y输入电能(2500kVA整流变)	kWh	D_SLDN_1
T22D变压器L1L2线电压(2500kVA整流变)	V	E_BYQ_L1L2_V_1
